Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Años de escolaridad promedio,Años de escolaridad promedio para la población de 18 años o más
8,Biobío,83,Biobío,8314,Alto Biobío,"12,6","13,2"
9,La Araucanía,91,Cautín,9101,Temuco,"12,3","13,8"
9,La Araucanía,91,Cautín,9102,Carahue,"11,8","12,6"
9,La Araucanía,91,Cautín,9103,Cunco,"11,2","12,4"
9,La Araucanía,91,Cautín,9104,Curarrehue,"11,4","12,5"
9,La Araucanía,91,Cautín,9105,Freire,"11,2","12,1"
9,La Araucanía,91,Cautín,9106,Galvarino,"10,3","11,0"
9,La Araucanía,91,Cautín,9107,Gorbea,"10,6","11,7"
9,La Araucanía,91,Cautín,9108,Lautaro,"11,6","13,0"
9,La Araucanía,91,Cautín,9109,Loncoche,"12,1","12,9"
9,La Araucanía,91,Cautín,9110,Melipeuco,"11,7","12,5"
9,La Araucanía,91,Cautín,9111,Nueva Imperial,"11,3","12,2"
9,La Araucanía,91,Cautín,9112,Padre Las Casas,"11,4","13,0"
9,La Araucanía,91,Cautín,9113,Perquenco,"12,6","13,6"
9,La Araucanía,91,Cautín,9114,Pitrufquén,"12,0","13,1"
9,La Araucanía,91,Cautín,9115,Pucón,"12,6","13,7"
9,La Araucanía,91,Cautín,9116,Saavedra,"12,1","12,6"
9,La Araucanía,91,Cautín,9117,Teodoro Schmidt,"10,7","11,9"
9,La Araucanía,91,Cautín,9118,Toltén,"11,9","12,8"
9,La Araucanía,91,Cautín,9119,Vilcún,"12,0","13,1"
9,La Araucanía,91,Cautín,9120,Villarrica,"12,0","13,2"
9,La Araucanía,91,Cautín,9121,Cholchol,"10,5","12,7"
9,La Araucanía,92,Malleco,9201,Angol,"11,8","13,5"
9,La Araucanía,92,Malleco,9202,Collipulli,"11,0","12,2"
9,La Araucanía,92,Malleco,9203,Curacautín,"11,7","12,6"
9,La Araucanía,92,Malleco,9204,Ercilla,"9,8","11,5"
9,La Araucanía,92,Malleco,9205,Lonquimay,"11,3","12,2"
9,La Araucanía,92,Malleco,9206,Los Sauces,"10,8","12,1"
9,La Araucanía,92,Malleco,9207,Lumaco,"11,5","13,9"
9,La Araucanía,92,Malleco,9208,Purén,"11,4","13,9"
9,La Araucanía,92,Malleco,9209,Renaico,"11,7","12,7"
9,La Araucanía,92,Malleco,9210,Traiguén,"12,1","14,0"
9,La Araucanía,92,Malleco,9211,Victoria,"11,6","13,1"
14,Los Ríos,141,Valdivia,14101,Valdivia,"12,6","14,1"
14,Los Ríos,141,Valdivia,14102,Corral,"10,7","12,1"
14,Los Ríos,141,Valdivia,14103,Lanco,"12,1","13,0"
14,Los Ríos,141,Valdivia,14104,Los Lagos,"11,5","12,6"
14,Los Ríos,141,Valdivia,14105,Máfil,"10,9","12,1"
