Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Viviendas particulares ocupadas con moradores presentes,Viviendas sin hacinamiento,Viviendas con hacinamiento medio,Viviendas con hacinamiento crítico,Índice de hacinamiento ignorado
7,Maule,71,Talca,7102,Constitución,17.374,16.499,809,65,1
7,Maule,71,Talca,7103,Curepto,3.749,3.580,158,11,0
7,Maule,71,Talca,7104,Empedrado,1.458,1.385,68,5,0
7,Maule,71,Talca,7105,Maule,20.162,18.804,1.251,103,4
7,Maule,71,Talca,7106,Pelarco,3.191,3.003,179,9,0
7,Maule,71,Talca,7107,Pencahue,3.387,3.230,147,10,0
7,Maule,71,Talca,7108,Río Claro,5.054,4.756,283,15,0
7,Maule,71,Talca,7109,San Clemente,16.376,15.316,983,75,2
7,Maule,71,Talca,7110,San Rafael,3.884,3.641,217,26,0
7,Maule,72,Cauquenes,7201,Cauquenes,16.032,15.133,826,70,3
7,Maule,72,Cauquenes,7202,Chanco,3.434,3.241,183,9,1
7,Maule,72,Cauquenes,7203,Pelluhue,3.450,3.300,134,13,3
7,Maule,73,Curicó,7301,Curicó,55.895,52.957,2.692,244,2
7,Maule,73,Curicó,7302,Hualañé,4.002,3.801,178,22,1
7,Maule,73,Curicó,7303,Licantén,2.615,2.473,134,8,0
7,Maule,73,Curicó,7304,Molina,16.943,15.803,1.061,79,0
7,Maule,73,Curicó,7305,Rauco,3.999,3.759,225,15,0
7,Maule,73,Curicó,7306,Romeral,5.997,5.623,346,28,0
7,Maule,73,Curicó,7307,Sagrada Familia,6.653,6.247,384,22,0
7,Maule,73,Curicó,7308,Teno,10.548,9.909,596,43,0
7,Maule,73,Curicó,7309,Vichuquén,1.875,1.794,80,1,0
7,Maule,74,Linares,7401,Linares,34.636,32.832,1.650,150,4
7,Maule,74,Linares,7402,Colbún,8.137,7.657,447,33,0
7,Maule,74,Linares,7403,Longaví,11.818,11.018,756,44,0
7,Maule,74,Linares,7404,Parral,16.856,15.917,863,76,0
7,Maule,74,Linares,7405,Retiro,8.153,7.682,446,25,0
7,Maule,74,Linares,7406,San Javier,17.851,16.714,1.042,93,2
7,Maule,74,Linares,7407,Villa Alegre,6.611,6.211,367,32,1
7,Maule,74,Linares,7408,Yerbas Buenas,6.998,6.537,426,34,1
16,Ñuble,161,Diguillín,16101,Chillán,68.623,65.708,2.653,258,4
16,Ñuble,161,Diguillín,16102,Bulnes,8.668,8.235,377,56,0
16,Ñuble,161,Diguillín,16103,Chillán Viejo,11.522,10.975,499,47,1
16,Ñuble,161,Diguillín,16104,El Carmen,4.966,4.799,154,13,0
16,Ñuble,161,Diguillín,16105,Pemuco,3.207,3.033,158,15,1
16,Ñuble,161,Diguillín,16106,Pinto,4.714,4.467,228,19,0
16,Ñuble,161,Diguillín,16107,Quillón,7.432,7.077,325,29,1
16,Ñuble,161,Diguillín,16108,San Ignacio,6.533,6.223,281,29,0
16,Ñuble,161,Diguillín,16109,Yungay,7.238,6.967,251,19,1
16,Ñuble,162,Itata,16201,Quirihue,4.586,4.369,187,30,0
16,Ñuble,162,Itata,16202,Cobquecura,2.276,2.183,81,12,0
16,Ñuble,162,Itata,16203,Coelemu,5.555,5.261,277,17,0
16,Ñuble,162,Itata,16204,Ninhue,2.296,2.226,63,7,0
16,Ñuble,162,Itata,16205,Portezuelo,2.019,1.946,69,4,0
16,Ñuble,162,Itata,16206,Ránquil,2.586,2.491,87,8,0
16,Ñuble,162,Itata,16207,Trehuaco,2.317,2.231,80,6,0
16,Ñuble,163,Punilla,16301,San Carlos,20.385,19.388,919,77,1
16,Ñuble,163,Punilla,16302,Coihueco,10.350,9.821,492,36,1
16,Ñuble,163,Punilla,16303,Ñiquén,4.869,4.621,235,13,0
16,Ñuble,163,Punilla,16304,San Fabián,2.007,1.910,91,6,0
16,Ñuble,163,Punilla,16305,San Nicolás,5.364,5.075,266,23,0
8,Biobío,81,Concepción,8101,Concepción,87.967,84.199,2.798,964,6
8,Biobío,81,Concepción,8102,Coronel,41.296,39.004,2.133,158,1
8,Biobío,81,Concepción,8103,Chiguayante,28.849,27.752,1.004,90,3
8,Biobío,81,Concepción,8104,Florida,4.920,4.657,238,25,0
8,Biobío,81,Concepción,8105,Hualqui,8.712,8.213,456,43,0
8,Biobío,81,Concepción,8106,Lota,13.579,12.681,827,70,1
8,Biobío,81,Concepción,8107,Penco,16.513,15.629,806,78,0
8,Biobío,81,Concepción,8108,San Pedro de La paz,51.652,49.274,2.218,158,2
8,Biobío,81,Concepción,8109,Santa Juana,5.547,5.237,286,24,0
8,Biobío,81,Concepción,8110,Talcahuano,49.475,47.017,2.208,247,3
8,Biobío,81,Concepción,8111,Tomé,20.311,19.358,858,95,0
8,Biobío,81,Concepción,8112,Hualpén,29.763,28.367,1.277,116,3
8,Biobío,82,Arauco,8201,Lebu,8.678,8.241,414,23,0
8,Biobío,82,Arauco,8202,Arauco,12.983,12.324,604,54,1
8,Biobío,82,Arauco,8203,Cañete,12.430,11.815,568,45,2
8,Biobío,82,Arauco,8204,Contulmo,2.271,2.183,80,8,0
8,Biobío,82,Arauco,8205,Curanilahue,10.989,10.455,498,36,0
8,Biobío,82,Arauco,8206,Los Álamos,7.926,7.543,354,28,1
8,Biobío,82,Arauco,8207,Tirúa,3.579,3.343,224,11,1
8,Biobío,83,Biobío,8301,Los Ángeles,77.467,73.693,3.521,246,7
8,Biobío,83,Biobío,8302,Antuco,1.701,1.628,69,3,1
8,Biobío,83,Biobío,8303,Cabrero,11.261,10.748,490,23,0
8,Biobío,83,Biobío,8304,Laja,8.459,8.037,386,36,0
8,Biobío,83,Biobío,8305,Mulchén,9.970,9.374,545,48,3
8,Biobío,83,Biobío,8306,Nacimiento,9.107,8.639,438,29,1
8,Biobío,83,Biobío,8307,Negrete,3.721,3.535,180,6,0
8,Biobío,83,Biobío,8308,Quilaco,1.707,1.627,76,4,0
8,Biobío,83,Biobío,8309,Quilleco,3.537,3.364,159,13,1
8,Biobío,83,Biobío,8310,San Rosendo,1.307,1.248,44,15,0
8,Biobío,83,Biobío,8311,Santa Bárbara,5.143,4.857,269,17,0
8,Biobío,83,Biobío,8312,Tucapel,6.142,5.901,224,17,0
8,Biobío,83,Biobío,8313,Yumbel,8.827,8.457,343,26,1
8,Biobío,83,Biobío,8314,Alto Biobío,2.006,1.754,228,19,5
9,La Araucanía,91,Cautín,9101,Temuco,108.912,103.408,4.390,1.105,9
9,La Araucanía,91,Cautín,9102,Carahue,9.030,8.545,441,44,0
9,La Araucanía,91,Cautín,9103,Cunco,7.281,6.905,337,37,2
9,La Araucanía,91,Cautín,9104,Curarrehue,2.888,2.672,189,27,0
9,La Araucanía,91,Cautín,9105,Freire,9.637,9.099,473,64,1
9,La Araucanía,91,Cautín,9106,Galvarino,4.478,4.150,300,28,0
9,La Araucanía,91,Cautín,9107,Gorbea,5.528,5.297,215,16,0
9,La Araucanía,91,Cautín,9108,Lautaro,14.705,13.849,795,60,1
9,La Araucanía,91,Cautín,9109,Loncoche,9.512,9.006,448,56,2
9,La Araucanía,91,Cautín,9110,Melipeuco,2.609,2.458,146,5,0
9,La Araucanía,91,Cautín,9111,Nueva Imperial,12.012,11.240,701,71,0
9,La Araucanía,91,Cautín,9112,Padre Las Casas,27.469,25.590,1.710,167,2
